5;61.03;225.15;0.07;67
10;50.48;204.56;0.04;18
15;55.90;151.38;0.05;6
20;61.85;48.46;0.02;0
25;68.59;44.52;0.07;4
30;57.31;46.31;0.05;4
35;58.26;54.90;0.03;2
40;55.97;46.63;0.04;0
