5;219.30;0.06;0.23;1122811.38
10;202.45;0.05;1.06;2073099.25
15;131.45;0.05;0.28;2019146.48
20;92.15;0.05;0.26;1887310.18
25;80.17;0.04;0.09;2052406.04
30;66.65;0.04;0.15;2047410.21
35;52.83;0.04;0.08;1893461.95
40;47.35;0.04;0.04;1939309.79
