5;21.40;264.07;0.02;0
10;7.21;264.07;0.48;1092
15;10.30;264.07;0.50;1972
20;14.87;264.07;0.50;2209
25;8.06;264.07;0.49;1712
30;17.03;264.07;0.51;2490
35;4.24;264.07;0.00;3366
40;13.42;264.07;0.51;2468
