5;218.41;0.08;22.80
10;198.41;0.06;63.20
15;133.93;0.05;22.53
20;99.67;0.05;11.20
25;77.22;0.04;6.28
30;60.93;0.05;6.30
35;51.19;0.04;8.91
40;46.05;0.04;1.48
