5;222.74;0.09;0.00
10;163.49;0.08;3.50
15;99.00;0.08;5.33
20;74.36;0.07;2.15
25;49.88;0.06;2.56
30;44.72;0.07;0.70
35;34.72;0.06;0.86
40;36.09;0.05;0.80
