5;227.96;0.09;0.00
10;158.35;0.06;10.50
15;118.96;0.06;7.07
20;68.00;0.07;2.85
25;62.18;0.05;2.36
30;45.93;0.06;1.67
35;38.23;0.06;1.40
40;33.25;0.05;0.30
